year,city,country,city_avg_temp,city_moving_temp(7days),
1828,Seattle,United States,7.13,,
1829,Seattle,United States,6.8,,
1830,Seattle,United States,,,
1831,Seattle,United States,,,
1832,Seattle,United States,3.52,,
1833,Seattle,United States,7.48,,
1834,Seattle,United States,7.1,6.406,
1835,Seattle,United States,5.58,6.096,
1836,Seattle,United States,6.74,6.084,
1837,Seattle,United States,6.81,6.205,
1838,Seattle,United States,6.59,6.26,
1839,Seattle,United States,7.3,6.8,
1840,Seattle,United States,6.69,6.687142857,
1841,Seattle,United States,6.81,6.645714286,
1842,Seattle,United States,6.88,6.831428571,
1843,Seattle,United States,6.55,6.804285714,
1844,Seattle,United States,6.41,6.747142857,
1845,Seattle,United States,6.88,6.788571429,
1846,Seattle,United States,,6.703333333,
1847,Seattle,United States,8.99,7.086666667,
1848,Seattle,United States,6.6,7.051666667,
1849,Seattle,United States,6.68,7.018333333,
1850,Seattle,United States,7.06,7.103333333,
1851,Seattle,United States,7.79,7.333333333,
1852,Seattle,United States,7.08,7.366666667,7.366666667
1853,Seattle,United States,7.61,7.401428571,
1854,Seattle,United States,6.99,7.115714286,
1855,Seattle,United States,7.31,7.217142857,
1856,Seattle,United States,7.44,7.325714286,
1857,Seattle,United States,7.91,7.447142857,
1858,Seattle,United States,6.91,7.321428571,
1859,Seattle,United States,6.27,7.205714286,
1860,Seattle,United States,7.63,7.208571429,
1861,Seattle,United States,7.18,7.235714286,
1862,Seattle,United States,6.36,7.1,
1863,Seattle,United States,7.44,7.1,
1864,Seattle,United States,7.64,7.061428571,
1865,Seattle,United States,7.05,7.081428571,
1866,Seattle,United States,7.39,7.241428571,
1867,Seattle,United States,7.12,7.168571429,
1868,Seattle,United States,6.99,7.141428571,
1869,Seattle,United States,8.33,7.422857143,
1870,Seattle,United States,7.85,7.481428571,
1871,Seattle,United States,7.97,7.528571429,
1872,Seattle,United States,7.34,7.57,
1873,Seattle,United States,7.47,7.581428571,
1874,Seattle,United States,7.32,7.61,
1875,Seattle,United States,6.9,7.597142857,
1876,Seattle,United States,7.12,7.424285714,
1877,Seattle,United States,8.14,7.465714286,
1878,Seattle,United States,7.89,7.454285714,
1879,Seattle,United States,6.74,7.368571429,
1880,Seattle,United States,5.95,7.151428571,
1881,Seattle,United States,6.86,7.085714286,
1882,Seattle,United States,6.88,7.082857143,
1883,Seattle,United States,6.97,7.061428571,
1884,Seattle,United States,6.81,6.871428571,
1885,Seattle,United States,8.66,6.981428571,
1886,Seattle,United States,7.85,7.14,
1887,Seattle,United States,6.77,7.257142857,
1888,Seattle,United States,7.73,7.381428571,
1889,Seattle,United States,8.08,7.552857143,
1890,Seattle,United States,7.03,7.561428571,
1891,Seattle,United States,7.61,7.675714286,
